"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
73 0.958680855143323 0.955357428178826 0.953424088454287 0.955932636691912 0.955932636691912 0.956092416834436 0.954894065765507 0.954894065765507 0.954894065765507 0.958025756558975 0.958025756558975 0.957913910459208 0.960086920397533 0.957482504074394
74 0.887867857551815 0.878034466964388 0.886579640444292 0.886579640444292 0.876731936333448 0.876918012137868 0.876746249856865 0.878048780487805 0.878048780487805 0.877290163746708 0.877290163746708 0.881197755639528 0.884117714416581 0.884117714416581
75 0.954505626268216 0.954159749123778 0.953721638074156 0.951992252351965 0.951992252351965 0.952176720162332 0.951046854823833 0.951646375207526 0.951646375207526 0.951646375207526 0.951646375207526 0.951600258254935 0.957111234089651 0.954643977125991
76 0.580148619957537 0.52176220806794 0.52176220806794 0.52176220806794 0.530785562632696 0.535031847133758 0.530785562632696 0.515392781316348 0.515392781316348 0.516454352441614 0.512738853503185 0.512738853503185 0.518577494692144 0.518577494692144
77 0.943279372087319 0.897044395388766 0.897044395388766 0.897044395388766 0.892384105960265 0.896492519009075 0.902563159185676 0.93027961736571 0.93027961736571 0.93027961736571 0.93027961736571 0.927949472651459 0.926968359087564 0.926968359087564
78 0.840064102564103 0.824358974358974 0.824358974358974 0.824358974358974 0.82724358974359 0.828205128205128 0.833653846153846 0.838461538461538 0.838461538461538 0.843589743589744 0.847435897435897 0.847435897435897 0.848397435897436 0.848397435897436
79 NA 0.826797385620915 0.826797385620915 0.826797385620915 0.832754435107376 0.834640522875817 0.814920634920635 0.814920634920635 0.814920634920635 0.814920634920635 0.814920634920635 0.819887955182073 0.815873015873016 0.815873015873016
80 NA 0.863563402889246 0.863563402889246 0.863563402889246 0.863563402889246 0.865569823434992 0.868378812199037 0.868378812199037 0.868378812199037 0.874799357945425 0.878812199036918 0.878812199036918 0.882423756019262 0.882423756019262
81 NA 0.917736757624398 0.917736757624398 0.917736757624398 0.917736757624398 0.919743178170144 0.918138041733547 0.918138041733547 0.918138041733547 0.91653290529695 0.916131621187801 0.916131621187801 0.920144462279294 0.920144462279294
82 NA 0.582614775110697 0.582614775110697 0.582614775110697 0.582614775110697 0.56047541365649 0.55721277091587 0.473898858075041 0.473898858075041 0.469704031694244 0.46620834304358 0.46620834304358 0.458634350967141 0.458634350967141
83 NA 0.6616 0.6616 0.6616 0.6616 0.676 0.6864 0.6968 0.6968 0.6984 0.7016 0.7016 0.7048 0.7048
84 NA 0.89297253634895 0.89297253634895 0.89297253634895 0.89297253634895 0.895597738287561 0.899030694668821 0.889135702746365 0.889135702746365 0.884894991922456 0.88529886914378 0.88529886914378 0.889943457189015 0.889943457189015
85 NA 0.867418142780462 0.867418142780462 0.867418142780462 0.867418142780462 0.87037037037037 0.855072463768116 0.858024691358025 0.858024691358025 0.863660762211487 0.861245303274289 0.861245303274289 0.835748792270531 0.835748792270531
86 NA 0.8744 0.8744 0.8744 0.8744 0.8776 0.88 0.88 0.88 0.8864 0.8904 0.8904 0.8952 0.8952
87 NA 0.89903536977492 0.89903536977492 0.89903536977492 0.89903536977492 0.901286173633441 0.9 0.90064308681672 0.90064308681672 0.904823151125402 0.90032154340836 0.90032154340836 0.904180064308682 0.904180064308682
